x,KinematicLimit
45,45.073
94.287,94.1985
94.5775,0.0359823
,
x,2pb
44.7,41.9708
52.2623,50.1343
62.5264,58.6428
73.081,68.2443
87.8961,82.3796
94.8,89.2702
94.8,-0.2
44.7,-0.2
44.7,41.9708
,
x,0.5pb
44.8,37.0438
49.7447,43.0342
53.3275,47.2075
60.3961,53
63.4947,55.7167
74.1461,66.0475
84.507,76.7451
94.7,86.1687
94.7,9.52503
93.0282,6.43312
91.963,5.52778
88.9613,2.81048
85.9595,2.46543
85.8627,-0.1
44.8,-0.1
44.8,37.0438
,
x,0.3pb
44.9   ,35.219
48.4859,40.3053
52.456,43.9286
55.5546,46.8278
60.8803,52.9968
65.9155,57.343
72.7905,63.1368
79.2782,68.5682
85.9595,74.1808
91.0915,79.4387
93.8996,82.3398
94.6,82.3365
94.6,22.1163
93.125,21.031
93.0282,19.2068
92.7377,18.8438
92.6408,14.0999
88.6708,13.0314
85.8627,13.5975
80.3433,9.07204
76.5669,10.9219
74.7271,9.10931
68.1426,7.1457
62.8169,0.
51.9718,0.136219
51.5845,15.6497
49.5511,7.63403
47.9049,0.
44.9,0.
44.9,35.219
,
x,0.2pb
45.,29.1971
47.8081,29.3609
48.0018,36.6589
50.9067,37.0046
51.7782,41.1959
60.2993,49.1686
64.2694,54.4342
78.794,66.929
89.1549,76.1669
94.5,79.9643
94.5,33.2477
92.6408,33.078
92.6408,33.078
92.9313,19.39
92.9313,19.39
90.5106,18.3111
89.2518,18.3195
87.0246,19.9766
86.5405,24.9068
83.8292,24.0124
78.9877,19.4825
75.9859,18.4075
69.3046,16.627
62.9137,15.3921
60.0088,17.2362
54.8768,18.3651
53.7148,13.0809
53.4243,12.9003
52.1655,19.843
51.0035,27.3324
49.9384,18.5804
48.0986,18.4101
45.,16.4227
45.,29.1971
,
x,0.1pb
69.8856,49.8349
69.9824,51.8415
79.1813,61.9995
87.7025,68.5123
90.4137,72.1439
94.4806,74.8541
94.4806,47.1169
92.8345,47.1278
90.7042,42.5799
89.0581,42.0434
87.0246,41.327
86.6373,53.7383
85.7658,53.5616
85.669,51.9199
85.1849,50.8282
82.6673,50.8449
81.2148,48.8473
79.956,47.9432
76.8574,45.774
76.2764,40.6684
75.8891,40.6709
74.1461,44.3321
71.6285,46.7211
69.8856,49.8349
