x,KinematicLimit,,x,0.3pb,,x,0.2pb,,x,0.1pb
45,45.073,,45,35.219,,45,29.1971,,69.8856,49.8349
94.287,94.1985,,48.4859,40.3053,,47.8081,29.3609,,69.9824,51.8415
94.5775,0.0359823,,52.456,43.9286,,48.0018,36.6589,,79.1813,61.9995
,,,55.5546,46.8278,,50.9067,37.0046,,87.7025,68.5123
x,2pb,,60.8803,52.9968,,51.7782,41.1959,,90.4137,72.1439
45,41.9708,,65.9155,57.343,,60.2993,49.1686,,94.4806,74.8541
52.2623,50.1343,,72.7905,63.1368,,64.2694,54.4342,,94.4806,47.1169
62.5264,58.6428,,79.2782,68.5682,,78.794,66.929,,92.8345,47.1278
73.081,68.2443,,85.9595,74.1808,,89.1549,76.1669,,90.7042,42.5799
87.8961,82.3796,,91.0915,79.4387,,94.3838,79.9643,,89.0581,42.0434
94.4806,89.2702,,93.8996,82.3398,,94.5775,33.2477,,87.0246,41.327
,,,94.3838,82.3365,,92.6408,33.078,,86.6373,53.7383
x,0.5pb,,94.5775,22.1163,,92.6408,33.078,,85.7658,53.5616
45,37.0438,,93.125,21.031,,92.9313,19.39,,85.669,51.9199
49.7447,43.0342,,93.0282,19.2068,,92.9313,19.39,,85.1849,50.8282
53.3275,47.2075,,92.7377,18.8438,,90.5106,18.3111,,82.6673,50.8449
60.3961,53,,92.6408,14.0999,,89.2518,18.3195,,81.2148,48.8473
63.4947,55.7167,,88.6708,13.0314,,87.0246,19.9766,,79.956,47.9432
74.1461,66.0475,,85.8627,13.5975,,86.5405,24.9068,,76.8574,45.774
84.507,76.7451,,80.3433,9.07204,,83.8292,24.0124,,76.2764,40.6684
94.3838,86.1687,,76.5669,10.9219,,78.9877,19.4825,,75.8891,40.6709
94.5775,9.52503,,74.7271,9.10931,,75.9859,18.4075,,74.1461,44.3321
93.0282,6.43312,,68.1426,7.1457,,69.3046,16.627,,71.6285,46.7211
91.963,5.52778,,62.8169,0.0642541,,62.9137,15.3921,,69.8856,49.8349
88.9613,2.81048,,51.9718,0.136219,,60.0088,17.2362,,,
85.9595,2.46543,,51.5845,15.6497,,54.8768,18.3651,,,
85.8627,-0.636116,,49.5511,7.63403,,53.7148,13.0809,,,
,,,47.9049,0.163206,,53.4243,12.9003,,,
,,,,,,52.1655,19.843,,,
,,,,,,51.0035,27.3324,,,
,,,,,,49.9384,18.5804,,,
,,,,,,48.0986,18.4101,,,
,,,,,,45.0968,16.4227,,,
